"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","iso_country","iata_code"
3000,"KATL","large_airport","Hartsfield Jackson Atlanta International Airport",33.6367,-84.4281,1026,"US","ATL"
3001,"KORD","large_airport","Chicago O'Hare International Airport",41.9786,-87.9048,672,"US","ORD"
3002,"KDFW","large_airport","Dallas Fort Worth International Airport",32.8968,-97.038,607,"US","DFW"
3003,"KDEN","large_airport","Denver International Airport",39.8617,-104.6731,5431,"US","DEN"
3004,"KLAX","large_airport","Los Angeles International Airport",33.9425,-118.4081,125,"US","LAX"
3005,"KJFK","large_airport","John F Kennedy International Airport",40.6398,-73.7789,13,"US","JFK"
3006,"KSFO","large_airport","San Francisco International Airport",37.619,-122.375,13,"US","SFO"
3007,"KSEA","large_airport","Seattle Tacoma International Airport",47.449,-122.3093,433,"US","SEA"
3008,"KMCO","large_airport","Orlando International Airport",28.4294,-81.3089,96,"US","MCO"
3009,"KLAS","large_airport","Harry Reid International Airport",36.0801,-115.1522,2181,"US","LAS"
3999,"US-0001","heliport","Downtown Heliport",40.0,-74.0,10,"US",""
