YEAR,QUARTER,ITIN_ID,SEQ_NUM,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,DISTANCE,TRIP_BREAK
2024,2,20240600001,1,ATL,ORD,AA,4,607,X
2024,2,20240600002,1,ORD,ATL,DL,3,607,X
2024,2,20240600003,1,ATL,ORD,AA,5,607,X
2024,2,20240600004,1,ORD,ATL,DL,4,607,X
2024,2,20240600005,1,ATL,ORD,AA,6,607,X
2024,2,20240600006,1,ORD,ATL,DL,5,607,X
2024,2,20240600007,1,ATL,ORD,AA,7,607,X
2024,2,20240600008,1,ORD,ATL,DL,6,607,X
2024,2,20240600009,1,ATL,ORD,AA,8,607,X
2024,2,20240600010,1,ORD,ATL,DL,7,607,X
2024,2,20240600011,1,ATL,ORD,AA,9,607,X
2024,2,20240600012,1,ORD,ATL,DL,8,607,X
2024,2,20240600013,1,ATL,ATL,DL,2,607,
2024,2,20240600013,2,ATL,ORD,DL,2,607,X
2024,2,20240600014,1,ATL,ATL,DL,2,607,
2024,2,20240600014,2,ATL,ORD,DL,2,607,X
2024,2,20240600015,1,ATL,MCO,AA,4,404,X
2024,2,20240600016,1,MCO,ATL,DL,3,404,X
2024,2,20240600017,1,ATL,MCO,AA,5,404,X
2024,2,20240600018,1,MCO,ATL,DL,4,404,X
2024,2,20240600019,1,ATL,MCO,AA,6,404,X
2024,2,20240600020,1,MCO,ATL,DL,5,404,X
2024,2,20240600021,1,ATL,MCO,AA,7,404,X
2024,2,20240600022,1,MCO,ATL,DL,6,404,X
2024,2,20240600023,1,ATL,MCO,AA,8,404,X
2024,2,20240600024,1,MCO,ATL,DL,7,404,X
2024,2,20240600025,1,ATL,MCO,AA,9,404,X
2024,2,20240600026,1,MCO,ATL,DL,8,404,X
2024,2,20240600027,1,ATL,ATL,DL,2,404,
2024,2,20240600027,2,ATL,MCO,DL,2,404,X
2024,2,20240600028,1,ATL,ATL,DL,2,404,
2024,2,20240600028,2,ATL,MCO,DL,2,404,X
2024,2,20240600029,1,ORD,DFW,AA,4,802,X
2024,2,20240600030,1,DFW,ORD,DL,3,802,X
2024,2,20240600031,1,ORD,DFW,AA,5,802,X
2024,2,20240600032,1,DFW,ORD,DL,4,802,X
2024,2,20240600033,1,ORD,DFW,AA,6,802,X
2024,2,20240600034,1,DFW,ORD,DL,5,802,X
2024,2,20240600035,1,ORD,DFW,AA,7,802,X
2024,2,20240600036,1,DFW,ORD,DL,6,802,X
2024,2,20240600037,1,ORD,DFW,AA,8,802,X
2024,2,20240600038,1,DFW,ORD,DL,7,802,X
2024,2,20240600039,1,ORD,DFW,AA,9,802,X
2024,2,20240600040,1,DFW,ORD,DL,8,802,X
2024,2,20240600041,1,ORD,ATL,DL,2,802,
2024,2,20240600041,2,ATL,DFW,DL,2,802,X
2024,2,20240600042,1,ORD,ATL,DL,2,802,
2024,2,20240600042,2,ATL,DFW,DL,2,802,X
2024,2,20240600043,1,DEN,LAX,AA,4,861,X
2024,2,20240600044,1,LAX,DEN,DL,3,861,X
2024,2,20240600045,1,DEN,LAX,AA,5,861,X
2024,2,20240600046,1,LAX,DEN,DL,4,861,X
2024,2,20240600047,1,DEN,LAX,AA,6,861,X
2024,2,20240600048,1,LAX,DEN,DL,5,861,X
2024,2,20240600049,1,DEN,LAX,AA,7,861,X
2024,2,20240600050,1,LAX,DEN,DL,6,861,X
2024,2,20240600051,1,DEN,LAX,AA,8,861,X
2024,2,20240600052,1,LAX,DEN,DL,7,861,X
2024,2,20240600053,1,DEN,LAX,AA,9,861,X
2024,2,20240600054,1,LAX,DEN,DL,8,861,X
2024,2,20240600055,1,DEN,ATL,DL,2,861,
2024,2,20240600055,2,ATL,LAX,DL,2,861,X
2024,2,20240600056,1,DEN,ATL,DL,2,861,
2024,2,20240600056,2,ATL,LAX,DL,2,861,X
2024,2,20240600057,1,JFK,LAX,AA,4,2469,X
2024,2,20240600058,1,LAX,JFK,DL,3,2469,X
2024,2,20240600059,1,JFK,LAX,AA,5,2469,X
2024,2,20240600060,1,LAX,JFK,DL,4,2469,X
2024,2,20240600061,1,JFK,LAX,AA,6,2469,X
2024,2,20240600062,1,LAX,JFK,DL,5,2469,X
2024,2,20240600063,1,JFK,LAX,AA,7,2469,X
2024,2,20240600064,1,LAX,JFK,DL,6,2469,X
2024,2,20240600065,1,JFK,LAX,AA,8,2469,X
2024,2,20240600066,1,LAX,JFK,DL,7,2469,X
2024,2,20240600067,1,JFK,LAX,AA,9,2469,X
2024,2,20240600068,1,LAX,JFK,DL,8,2469,X
2024,2,20240600069,1,JFK,ATL,DL,2,2469,
2024,2,20240600069,2,ATL,LAX,DL,2,2469,X
2024,2,20240600070,1,JFK,ATL,DL,2,2469,
2024,2,20240600070,2,ATL,LAX,DL,2,2469,X
2024,2,20240600071,1,SFO,SEA,AA,4,679,X
2024,2,20240600072,1,SEA,SFO,DL,3,679,X
2024,2,20240600073,1,SFO,SEA,AA,5,679,X
2024,2,20240600074,1,SEA,SFO,DL,4,679,X
2024,2,20240600075,1,SFO,SEA,AA,6,679,X
2024,2,20240600076,1,SEA,SFO,DL,5,679,X
2024,2,20240600077,1,SFO,SEA,AA,7,679,X
2024,2,20240600078,1,SEA,SFO,DL,6,679,X
2024,2,20240600079,1,SFO,SEA,AA,8,679,X
2024,2,20240600080,1,SEA,SFO,DL,7,679,X
2024,2,20240600081,1,SFO,SEA,AA,9,679,X
2024,2,20240600082,1,SEA,SFO,DL,8,679,X
2024,2,20240600083,1,SFO,ATL,DL,2,679,
2024,2,20240600083,2,ATL,SEA,DL,2,679,X
2024,2,20240600084,1,SFO,ATL,DL,2,679,
2024,2,20240600084,2,ATL,SEA,DL,2,679,X
2024,2,20240600085,1,LAS,LAX,AA,4,236,X
2024,2,20240600086,1,LAX,LAS,DL,3,236,X
2024,2,20240600087,1,LAS,LAX,AA,5,236,X
2024,2,20240600088,1,LAX,LAS,DL,4,236,X
2024,2,20240600089,1,LAS,LAX,AA,6,236,X
2024,2,20240600090,1,LAX,LAS,DL,5,236,X
2024,2,20240600091,1,LAS,LAX,AA,7,236,X
2024,2,20240600092,1,LAX,LAS,DL,6,236,X
2024,2,20240600093,1,LAS,LAX,AA,8,236,X
2024,2,20240600094,1,LAX,LAS,DL,7,236,X
2024,2,20240600095,1,LAS,LAX,AA,9,236,X
2024,2,20240600096,1,LAX,LAS,DL,8,236,X
2024,2,20240600097,1,LAS,ATL,DL,2,236,
2024,2,20240600097,2,ATL,LAX,DL,2,236,X
2024,2,20240600098,1,LAS,ATL,DL,2,236,
2024,2,20240600098,2,ATL,LAX,DL,2,236,X
2024,2,20240600099,1,DFW,DEN,AA,4,641,X
2024,2,20240600100,1,DEN,DFW,DL,3,641,X
2024,2,20240600101,1,DFW,DEN,AA,5,641,X
2024,2,20240600102,1,DEN,DFW,DL,4,641,X
2024,2,20240600103,1,DFW,DEN,AA,6,641,X
2024,2,20240600104,1,DEN,DFW,DL,5,641,X
2024,2,20240600105,1,DFW,DEN,AA,7,641,X
2024,2,20240600106,1,DEN,DFW,DL,6,641,X
2024,2,20240600107,1,DFW,DEN,AA,8,641,X
2024,2,20240600108,1,DEN,DFW,DL,7,641,X
