YEAR,QUARTER,ORIGIN,DEST,TICKET_CARRIER,PASSENGERS,MARKET_FARE,MARKET_MILES_FLOWN,MARKET_COUPONS
2024,2,ATL,ORD,AA,363,109.59,607,1
2024,2,ATL,ORD,AA,81,129.32,759,2
2024,2,ATL,ORD,DL,363,101.92,607,1
2024,2,ATL,ORD,DL,81,120.27,759,2
2024,2,ATL,ORD,WN,363,93.16,607,1
2024,2,ATL,ORD,WN,81,109.93,759,2
2024,2,ORD,ATL,AA,363,109.59,607,1
2024,2,ORD,ATL,AA,81,129.32,759,2
2024,2,ORD,ATL,DL,363,101.92,607,1
2024,2,ORD,ATL,DL,81,120.27,759,2
2024,2,ORD,ATL,WN,363,93.16,607,1
2024,2,ORD,ATL,WN,81,109.93,759,2
2024,2,ATL,MCO,AA,282,92.34,404,1
2024,2,ATL,MCO,AA,60,108.96,505,2
2024,2,ATL,MCO,DL,282,85.88,404,1
2024,2,ATL,MCO,DL,60,101.34,505,2
2024,2,ATL,MCO,WN,282,78.49,404,1
2024,2,ATL,MCO,WN,60,92.62,505,2
2024,2,MCO,ATL,AA,282,92.34,404,1
2024,2,MCO,ATL,AA,60,108.96,505,2
2024,2,MCO,ATL,DL,282,85.88,404,1
2024,2,MCO,ATL,DL,60,101.34,505,2
2024,2,MCO,ATL,WN,282,78.49,404,1
2024,2,MCO,ATL,WN,60,92.62,505,2
2024,2,ORD,DFW,AA,441,126.17,802,1
2024,2,ORD,DFW,AA,100,148.88,1002,2
2024,2,ORD,DFW,DL,441,117.34,802,1
2024,2,ORD,DFW,DL,100,138.46,1002,2
2024,2,ORD,DFW,WN,441,107.24,802,1
2024,2,ORD,DFW,WN,100,126.54,1002,2
2024,2,DFW,ORD,AA,441,126.17,802,1
2024,2,DFW,ORD,AA,100,148.88,1002,2
2024,2,DFW,ORD,DL,441,117.34,802,1
2024,2,DFW,ORD,DL,100,138.46,1002,2
2024,2,DFW,ORD,WN,441,107.24,802,1
2024,2,DFW,ORD,WN,100,126.54,1002,2
2024,2,DEN,LAX,AA,464,131.19,861,1
2024,2,DEN,LAX,AA,106,154.8,1076,2
2024,2,DEN,LAX,DL,464,122.0,861,1
2024,2,DEN,LAX,DL,106,143.96,1076,2
2024,2,DEN,LAX,WN,464,111.51,861,1
2024,2,DEN,LAX,WN,106,131.58,1076,2
2024,2,LAX,DEN,AA,464,131.19,861,1
2024,2,LAX,DEN,AA,106,154.8,1076,2
2024,2,LAX,DEN,DL,464,122.0,861,1
2024,2,LAX,DEN,DL,106,143.96,1076,2
2024,2,LAX,DEN,WN,464,111.51,861,1
2024,2,LAX,DEN,WN,106,131.58,1076,2
2024,2,JFK,LAX,AA,1108,267.87,2469,1
2024,2,JFK,LAX,AA,267,316.09,3086,2
2024,2,JFK,LAX,DL,1108,249.11,2469,1
2024,2,JFK,LAX,DL,267,293.95,3086,2
2024,2,JFK,LAX,WN,1108,227.69,2469,1
2024,2,JFK,LAX,WN,267,268.67,3086,2
2024,2,LAX,JFK,AA,1108,267.87,2469,1
2024,2,LAX,JFK,AA,267,316.09,3086,2
2024,2,LAX,JFK,DL,1108,249.11,2469,1
2024,2,LAX,JFK,DL,267,293.95,3086,2
2024,2,LAX,JFK,WN,1108,227.69,2469,1
2024,2,LAX,JFK,WN,267,268.67,3086,2
2024,2,SFO,SEA,AA,392,115.72,679,1
2024,2,SFO,SEA,AA,88,136.55,849,2
2024,2,SFO,SEA,DL,392,107.61,679,1
2024,2,SFO,SEA,DL,88,126.98,849,2
2024,2,SFO,SEA,WN,392,98.36,679,1
2024,2,SFO,SEA,WN,88,116.06,849,2
2024,2,SEA,SFO,AA,392,115.72,679,1
2024,2,SEA,SFO,AA,88,136.55,849,2
2024,2,SEA,SFO,DL,392,107.61,679,1
2024,2,SEA,SFO,DL,88,126.98,849,2
2024,2,SEA,SFO,WN,392,98.36,679,1
2024,2,SEA,SFO,WN,88,116.06,849,2
2024,2,LAS,LAX,AA,214,78.06,236,1
2024,2,LAS,LAX,AA,44,92.11,295,2
2024,2,LAS,LAX,DL,214,72.6,236,1
2024,2,LAS,LAX,DL,44,85.67,295,2
2024,2,LAS,LAX,WN,214,66.35,236,1
2024,2,LAS,LAX,WN,44,78.29,295,2
2024,2,LAX,LAS,AA,214,78.06,236,1
2024,2,LAX,LAS,AA,44,92.11,295,2
2024,2,LAX,LAS,DL,214,72.6,236,1
2024,2,LAX,LAS,DL,44,85.67,295,2
2024,2,LAX,LAS,WN,214,66.35,236,1
2024,2,LAX,LAS,WN,44,78.29,295,2
2024,2,DFW,DEN,AA,376,112.49,641,1
