"id","airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed"
9000,3000,"KATL",12390,150,"ASP",1,0
9500,3000,"KATL",10890,150,"ASP",1,0
9001,3001,"KORD",13000,150,"ASP",1,0
9501,3001,"KORD",11500,150,"ASP",1,0
9002,3002,"KDFW",13401,150,"ASP",1,0
9502,3002,"KDFW",11901,150,"ASP",1,0
9003,3003,"KDEN",16000,150,"ASP",1,0
9503,3003,"KDEN",14500,150,"ASP",1,0
9004,3004,"KLAX",12091,150,"ASP",1,0
9504,3004,"KLAX",10591,150,"ASP",1,0
9005,3005,"KJFK",14511,150,"ASP",1,0
9505,3005,"KJFK",13011,150,"ASP",1,0
9006,3006,"KSFO",11870,150,"ASP",1,0
9506,3006,"KSFO",10370,150,"ASP",1,0
9007,3007,"KSEA",11901,150,"ASP",1,0
9507,3007,"KSEA",10401,150,"ASP",1,0
9008,3008,"KMCO",12005,150,"ASP",1,0
9508,3008,"KMCO",10505,150,"ASP",1,0
9009,3009,"KLAS",14515,150,"ASP",1,0
9509,3009,"KLAS",13015,150,"ASP",1,0
9999,3000,"KATL",20000,200,"ASP",1,1
