YEAR,MONTH,UNIQUE_CARRIER,ORIGIN,DEST,CLASS,PASSENGERS,FREIGHT,MAIL,DISTANCE
2015,6,AA,ATL,ORD,F,22550,72160,9020,607
2015,6,DL,ATL,ORD,F,18450,59040,7380,607
2015,6,AA,ORD,ATL,F,22550,72160,9020,607
2015,6,DL,ORD,ATL,F,18450,59040,7380,607
2015,6,AA,ATL,MCO,F,21725,69520,8690,404
2015,6,DL,ATL,MCO,F,17775,56880,7110,404
2015,6,AA,MCO,ATL,F,21725,69520,8690,404
2015,6,DL,MCO,ATL,F,17775,56880,7110,404
2015,6,AA,ORD,DFW,F,20900,66880,8360,802
2015,6,DL,ORD,DFW,F,17100,54720,6840,802
2015,6,AA,DFW,ORD,F,20900,66880,8360,802
2015,6,DL,DFW,ORD,F,17100,54720,6840,802
2015,6,AA,DEN,LAX,F,20075,64240,8030,861
2015,6,DL,DEN,LAX,F,16425,52560,6570,861
2015,6,AA,LAX,DEN,F,20075,64240,8030,861
2015,6,DL,LAX,DEN,F,16425,52560,6570,861
2015,6,AA,JFK,LAX,F,19250,61600,7700,2469
2015,6,DL,JFK,LAX,F,15750,50400,6300,2469
2015,6,AA,LAX,JFK,F,19250,61600,7700,2469
2015,6,DL,LAX,JFK,F,15750,50400,6300,2469
2015,6,AA,SFO,SEA,F,18425,58960,7370,679
2015,6,DL,SFO,SEA,F,15075,48240,6030,679
2015,6,AA,SEA,SFO,F,18425,58960,7370,679
2015,6,DL,SEA,SFO,F,15075,48240,6030,679
2015,6,AA,LAS,LAX,F,17600,56320,7040,236
2015,6,DL,LAS,LAX,F,14400,46080,5760,236
2015,6,AA,LAX,LAS,F,17600,56320,7040,236
2015,6,DL,LAX,LAS,F,14400,46080,5760,236
2015,6,AA,DFW,DEN,F,16775,53680,6710,641
2015,6,DL,DFW,DEN,F,13725,43920,5490,641
2015,6,AA,DEN,DFW,F,16775,53680,6710,641
2015,6,DL,DEN,DFW,F,13725,43920,5490,641
2015,6,AA,ATL,JFK,F,15950,51040,6380,759
2015,6,DL,ATL,JFK,F,13050,41760,5220,759
2015,6,AA,JFK,ATL,F,15950,51040,6380,759
2015,6,DL,JFK,ATL,F,13050,41760,5220,759
2015,6,AA,ORD,SEA,F,15125,48400,6050,1716
2015,6,DL,ORD,SEA,F,12375,39600,4950,1716
2015,6,AA,SEA,ORD,F,15125,48400,6050,1716
2015,6,DL,SEA,ORD,F,12375,39600,4950,1716
2015,6,AA,ATL,ATL,F,50,0,0,0
2015,6,DL,ORD,DEN,F,-5,0,0,888
