YEAR,MONTH,UNIQUE_CARRIER,ORIGIN,DEST,AIRCRAFT_TYPE,CLASS,PASSENGERS,SEATS,DEPARTURES_PERFORMED,DEPARTURES_SCHEDULED,DISTANCE,RAMP_TO_RAMP,AIR_TIME
2024,6,AA,ATL,ORD,612,F,43758,56100,330,332,607,666.5,579.9
2024,6,DL,ATL,ORD,614,F,31590,40500,270,272,607,545.3,474.4
2024,6,AA,ORD,ATL,612,F,43758,56100,330,332,607,666.5,579.9
2024,6,DL,ORD,ATL,614,F,31590,40500,270,272,607,545.3,474.4
2024,6,AA,ATL,MCO,612,F,41626,52360,308,310,404,486.1,422.9
2024,6,DL,ATL,MCO,614,F,30051,37800,252,254,404,397.7,346.0
2024,6,AA,MCO,ATL,612,F,41626,52360,308,310,404,486.1,422.9
2024,6,DL,MCO,ATL,614,F,30051,37800,252,254,404,397.7,346.0
2024,6,AA,ORD,DFW,612,F,39382,48620,286,288,802,698.8,608.0
2024,6,DL,ORD,DFW,614,F,28431,35100,234,236,802,571.8,497.5
2024,6,AA,DFW,ORD,612,F,39382,48620,286,288,802,698.8,608.0
2024,6,DL,DFW,ORD,614,F,28431,35100,234,236,802,571.8,497.5
2024,6,AA,DEN,LAX,612,F,37026,44880,264,266,861,678.9,590.6
2024,6,DL,DEN,LAX,614,F,26730,32400,216,218,861,555.5,483.3
2024,6,AA,LAX,DEN,612,F,37026,44880,264,266,861,678.9,590.6
2024,6,DL,LAX,DEN,614,F,26730,32400,216,218,861,555.5,483.3
2024,6,AA,JFK,LAX,612,F,34557,41140,242,244,2469,1468.3,1277.4
2024,6,DL,JFK,LAX,614,F,24948,29700,198,200,2469,1201.3,1045.1
2024,6,AA,LAX,JFK,612,F,34557,41140,242,244,2469,1468.3,1277.4
2024,6,DL,LAX,JFK,614,F,24948,29700,198,200,2469,1201.3,1045.1
2024,6,AA,SFO,SEA,612,F,29172,37400,220,222,679,478.7,416.5
2024,6,DL,SFO,SEA,614,F,21060,27000,180,182,679,391.7,340.8
2024,6,AA,SEA,SFO,612,F,29172,37400,220,222,679,478.7,416.5
2024,6,DL,SEA,SFO,614,F,21060,27000,180,182,679,391.7,340.8
2024,6,AA,LAS,LAX,612,F,26759,33660,198,200,236,240.2,209.0
2024,6,DL,LAS,LAX,614,F,19318,24300,162,164,236,196.5,171.0
2024,6,AA,LAX,LAS,612,F,26759,33660,198,200,236,240.2,209.0
2024,6,DL,LAX,LAS,614,F,19318,24300,162,164,236,196.5,171.0
2024,6,AA,DFW,DEN,612,F,24235,29920,176,178,641,368.5,320.6
2024,6,DL,DFW,DEN,614,F,17496,21600,144,146,641,301.5,262.3
2024,6,AA,DEN,DFW,612,F,24235,29920,176,178,641,368.5,320.6
2024,6,DL,DEN,DFW,614,F,17496,21600,144,146,641,301.5,262.3
2024,6,AA,ATL,JFK,612,F,21598,26180,154,156,759,361.9,314.9
2024,6,DL,ATL,JFK,614,F,15592,18900,126,128,759,296.1,257.6
2024,6,AA,JFK,ATL,612,F,21598,26180,154,156,759,361.9,314.9
2024,6,DL,JFK,ATL,614,F,15592,18900,126,128,759,296.1,257.6
2024,6,AA,ORD,SEA,612,F,18849,22440,132,134,1716,584.8,508.8
2024,6,DL,ORD,SEA,614,F,13608,16200,108,110,1716,478.5,416.3
2024,6,AA,SEA,ORD,612,F,18849,22440,132,134,1716,584.8,508.8
2024,6,DL,SEA,ORD,614,F,13608,16200,108,110,1716,478.5,416.3
2024,6,AA,ATL,ATL,612,F,100,200,2,2,0,1.0,0.9
2024,6,DL,ORD,DEN,614,F,5000,100,1,1,888,2.0,1.7
